GDP,EC,Co2 Emission,Coal_consumption,Oil consumption,GiNi
302571000000.0,1.64,100.6,0.14,8.8,32.55
323057000000.0,1.59,98.0,0.15,7.7,32.6
90950278258.0,6.52,446.9,2.04,87.9,32.65
105628000000.0,7.2,492.8,2.17,100.0,32.699999999999996
123782000000.0,8.25,578.2,2.39,123.0,32.75
146601000000.0,9.2,641.6,2.46,142.7,32.8
172204000000.0,10.49,731.5,2.62,169.1,32.85
212609000000.0,11.73,810.5,2.53,199.2,32.9
240152000000.0,12.49,845.3,2.3,219.8,32.949999999999996
318031000000.0,13.08,880.9,2.24,234.5,33.0
432083000000.0,14.53,995.0,2.37,269.2,33.05
479626000000.0,14.59,985.7,2.51,259.0,33.1
521542000000.0,13.93,923.6,2.35,244.1,33.15
586162000000.0,14.44,951.2,2.3,253.5,33.199999999999996
721412000000.0,14.55,960.7,2.17,260.5,33.25
1013610000000.0,15.16,924.3,1.96,266.5,33.3
1055010000000.0,15.75,949.7,2.1,269.1,33.35
1105390000000.0,15.28,920.7,2.44,241.4,33.4
1218990000000.0,15.06,914.7,2.73,227.7,33.449999999999996
1134520000000.0,14.47,863.6,2.61,211.6,33.5
1243320000000.0,14.66,864.0,2.57,211.3,33.55
1318380000000.0,15.92,952.6,2.87,222.0,33.599999999999994
1398890000000.0,16.03,930.5,3.0,210.2,33.65
2078950000000.0,16.05,919.8,2.86,212.2,33.699999999999996
2532810000000.0,16.37,927.6,2.91,213.1,33.75
3071680000000.0,17.41,999.3,3.15,229.3,33.8
3054910000000.0,18.0,1025.5,3.15,238.2,33.849999999999994
3132820000000.0,18.67,1087.0,3.27,248.0,33.9
3584420000000.0,19.09,1104.2,3.24,250.6,33.949999999999996
3908810000000.0,19.3,1116.4,3.19,256.0,34.0
4454140000000.0,19.58,1110.8,3.25,250.4,34.05
4998800000000.0,20.33,1175.0,3.4,264.9,34.099999999999994
5545560000000.0,21.36,1189.9,3.53,274.8,34.15
4923390000000.0,21.77,1211.3,3.62,276.5,34.199999999999996
4492450000000.0,22.18,1210.5,3.72,273.3,34.25
4098360000000.0,21.73,1179.2,3.54,263.3,34.3
4635980000000.0,22.09,1211.1,3.73,267.4,34.349999999999994
4968360000000.0,22.33,1233.2,4.0,263.6,34.4
4374710000000.0,22.12,1226.4,4.09,255.5,34.449999999999996
4182850000000.0,22.15,1237.2,4.35,253.3,34.5
4519560000000.0,22.08,1278.0,4.47,259.5,34.55
4893120000000.0,22.32,1262.0,4.59,252.7,34.599999999999994
4831470000000.0,22.4,1295.1,4.81,248.5,34.65
4601660000000.0,22.34,1272.6,4.72,239.5,34.699999999999996
4579750000000.0,22.11,1286.9,4.96,232.3,34.75
5106680000000.0,21.73,1297.1,5.09,224.1,34.8
5289490000000.0,19.81,1127.7,4.27,199.9,33.45
5759070000000.0,21.11,1197.9,4.87,201.9,32.1
6233150000000.0,20.02,1206.1,4.62,202.4,32.36666666666667
6272360000000.0,19.89,1292.1,4.88,216.6,32.63333333333333
5212330000000.0,19.73,1279.8,5.07,206.5,32.9
4896990000000.0,19.22,1246.5,4.99,196.0,33.544444444444444
4444930000000.0,18.92,1207.1,5.03,187.9,34.18888888888889
5003680000000.0,18.7,1190.0,5.02,182.5,34.833333333333336
4930840000000.0,18.91,1181.4,5.1,179.7,35.47777777777778
5036890000000.0,18.8,1158.4,4.99,174.3,36.12222222222222
5148780000000.0,18.37,1117.7,4.91,168.3,36.766666666666666
5057760000000.0,17.03,1027.0,4.57,149.0,37.41111111111111
65292753005.0,0.25,14.8,0.01,4.4,38.05555555555556
68434409315.0,0.25,16.1,0.02,4.6,38.7
74317806538.0,0.25,14.0,0.02,3.9,38.85
79356449841.0,0.27,17.3,0.04,4.3,39.0
80604080689.0,0.29,17.9,0.05,4.1,39.15
82401038710.0,0.31,20.3,0.05,4.9,39.3
87428128124.0,0.33,21.7,0.06,5.2,39.077777777777776
87963042341.0,0.35,21.4,0.05,5.2,38.855555555555554
83990946939.0,0.36,23.3,0.06,5.6,38.63333333333333
80676681934.0,0.33,20.8,0.07,4.7,38.41111111111111
5929231415.0,0.29,19.5,0.06,3.8,38.18888888888888
6561108778.0,0.3,19.3,0.05,3.9,37.96666666666666
7464510710.0,0.33,21.1,0.05,4.3,37.74444444444444
8041999160.0,0.37,23.8,0.05,4.9,37.52222222222222
8683116338.0,0.37,23.2,0.05,4.6,37.3
10027509450.0,0.37,22.7,0.04,4.6,37.077777777777776
10665896682.0,0.36,20.9,0.03,4.3,36.855555555555554
9415016360.0,0.32,17.6,0.02,3.6,36.63333333333333
6383429490.0,0.34,18.6,0.02,3.6,36.41111111111111
8899191919.0,0.36,20.0,0.02,3.9,36.18888888888888
11230606061.0,0.39,21.1,0.02,4.1,35.96666666666666
13168080808.0,0.39,21.2,0.02,4.1,35.74444444444444
15126060606.0,0.43,22.7,0.02,4.3,35.52222222222222
17811515152.0,0.46,23.8,0.02,4.5,35.3
19688383838.0,0.5,25.8,0.03,4.8,35.077777777777776
23654444444.0,0.55,27.8,0.03,5.0,34.855555555555554
28100606061.0,0.59,29.6,0.03,5.3,34.63333333333333
30725971564.0,0.65,31.9,0.04,5.9,34.41111111111111
28691889764.0,0.7,34.2,0.04,6.5,34.18888888888888
31151825467.0,0.74,36.5,0.05,7.0,33.96666666666666
31144920844.0,0.78,39.0,0.06,7.5,33.74444444444444
31899070056.0,0.82,42.5,0.06,8.1,33.52222222222222
33351529275.0,0.92,47.4,0.07,8.8,33.3
38472742808.0,0.98,50.9,0.07,9.5,33.266666666666666
40171018229.0,1.04,55.3,0.08,10.2,33.233333333333334
40010423970.0,1.09,57.8,0.09,10.7,33.2
